No.,时间( s) ,变形( mm) ,力( kgf) ,应力( MPa) ,应变( %) 
1501,55.964,1.387,51.88,12.719,1.387
1502,55.998,1.387,51.9,12.724,1.387
1503,56.028,1.388,51.94,12.734,1.388
1504,56.06,1.389,51.98,12.744,1.389
1505,56.094,1.39,52.02,12.754,1.39
1506,56.124,1.391,52.08,12.768,1.391
1507,56.156,1.391,52.12,12.778,1.391
1508,56.201,1.392,52.16,12.788,1.392
1509,56.228,1.393,52.22,12.803,1.393
1510,56.252,1.394,52.26,12.812,1.394
1511,56.29,1.395,52.28,12.817,1.395
1512,56.316,1.395,52.32,12.827,1.395
1513,56.34,1.396,52.36,12.837,1.396
1514,56.373,1.397,52.4,12.847,1.397
1515,56.404,1.398,52.44,12.857,1.398
1516,56.428,1.398,52.48,12.866,1.398
1517,56.46,1.399,52.52,12.876,1.399
1518,56.492,1.4,52.56,12.886,1.4
1519,56.524,1.401,52.62,12.901,1.401
1520,56.59,1.402,52.66,12.91,1.402
1521,56.62,1.403,52.72,12.925,1.403
1522,56.652,1.404,52.76,12.935,1.404
1523,56.711,1.405,52.82,12.95,1.405
1524,56.74,1.406,52.86,12.96,1.406
1525,56.772,1.407,52.92,12.974,1.407
1526,56.811,1.408,52.98,12.989,1.408
1527,56.836,1.408,53.02,12.999,1.408
1528,56.868,1.409,53.08,13.013,1.409
1529,56.92,1.411,53.12,13.023,1.411
1530,56.948,1.411,53.16,13.033,1.411
1531,56.98,1.412,53.2,13.043,1.412
1532,57.022,1.413,53.26,13.058,1.413
1533,57.052,1.414,53.3,13.067,1.414
1534,57.084,1.415,53.36,13.082,1.415
1535,57.13,1.416,53.4,13.092,1.416
1536,57.156,1.417,53.46,13.107,1.417
1537,57.188,1.417,53.52,13.121,1.417
1538,57.243,1.419,53.56,13.131,1.419
1539,57.268,1.419,53.6,13.141,1.419
1540,57.3,1.42,53.66,13.156,1.42
1541,57.347,1.421,53.7,13.165,1.421
1542,57.372,1.422,53.74,13.175,1.422
1543,57.396,1.422,53.78,13.185,1.422
1544,57.464,1.424,53.84,13.2,1.424
1545,57.492,1.425,53.9,13.214,1.425
1546,57.524,1.426,53.96,13.229,1.426
1547,57.577,1.427,54,13.239,1.427
1548,57.604,1.427,54.06,13.254,1.427
1549,57.628,1.428,54.1,13.264,1.428
1550,57.685,1.43,54.14,13.273,1.43
1551,57.716,1.43,54.2,13.288,1.43
1552,57.748,1.431,54.26,13.303,1.431
1553,57.798,1.432,54.32,13.317,1.432
1554,57.828,1.433,54.38,13.332,1.433
1555,57.86,1.434,54.42,13.342,1.434
1556,57.911,1.435,54.46,13.352,1.435
1557,57.94,1.436,54.52,13.366,1.436
1558,57.964,1.437,54.56,13.376,1.437
1559,58.022,1.438,54.6,13.386,1.438
1560,58.052,1.439,54.66,13.401,1.439
1561,58.084,1.44,54.7,13.411,1.44
1562,58.14,1.441,54.76,13.425,1.441
1563,58.172,1.442,54.82,13.44,1.442
1564,58.204,1.443,54.88,13.455,1.443
1565,58.263,1.444,54.94,13.469,1.444
1566,58.292,1.445,54.98,13.479,1.445
1567,58.324,1.446,55.04,13.494,1.446
1568,58.362,1.447,55.08,13.504,1.447
1569,58.388,1.447,55.14,13.518,1.447
1570,58.42,1.448,55.18,13.528,1.448
1571,58.495,1.45,55.24,13.543,1.45
1572,58.524,1.451,55.3,13.558,1.451
1573,58.556,1.452,55.36,13.572,1.452
1574,58.605,1.453,55.42,13.587,1.453
1575,58.636,1.454,55.48,13.602,1.454
1576,58.668,1.454,55.52,13.612,1.454
1577,58.7,1.455,55.58,13.626,1.455
1578,58.732,1.456,55.62,13.636,1.456
1579,58.764,1.457,55.68,13.651,1.457
1580,58.819,1.458,55.72,13.661,1.458
1581,58.844,1.459,55.78,13.675,1.459
1582,58.876,1.46,55.84,13.69,1.46
1583,58.919,1.46,55.88,13.7,1.46
1584,58.948,1.461,55.94,13.715,1.461
1585,58.98,1.462,55.96,13.72,1.462
1586,59.028,1.463,56,13.729,1.463
1587,59.06,1.464,56.04,13.739,1.464
1588,59.092,1.465,56.1,13.754,1.465
1589,59.135,1.466,56.14,13.764,1.466
1590,59.164,1.467,56.2,13.778,1.467
1591,59.196,1.468,56.26,13.793,1.468
1592,59.244,1.469,56.32,13.808,1.469
1593,59.276,1.47,56.38,13.822,1.47
1594,59.308,1.47,56.42,13.832,1.47
1595,59.356,1.472,56.46,13.842,1.472
1596,59.388,1.472,56.52,13.857,1.472
1597,59.42,1.473,56.56,13.867,1.473
1598,59.459,1.474,56.62,13.881,1.474
1599,59.484,1.475,56.68,13.896,1.475
1600,59.516,1.476,56.72,13.906,1.476
1601,59.569,1.477,56.78,13.921,1.477
1602,59.596,1.478,56.82,13.93,1.478
1603,59.628,1.478,56.86,13.94,1.478
1604,59.684,1.48,56.92,13.955,1.48
1605,59.716,1.481,56.98,13.97,1.481
1606,59.748,1.481,57.02,13.979,1.481
1607,59.798,1.483,57.1,13.999,1.483
1608,59.828,1.483,57.16,14.014,1.483
1609,59.86,1.484,57.2,14.024,1.484
1610,59.913,1.485,57.26,14.038,1.485
1611,59.94,1.486,57.32,14.053,1.486
1612,59.972,1.487,57.36,14.063,1.487
1613,60.02,1.488,57.4,14.073,1.488
1614,60.052,1.489,57.46,14.087,1.489
1615,60.084,1.49,57.5,14.097,1.49
1616,60.155,1.492,57.56,14.112,1.492
1617,60.18,1.492,57.64,14.131,1.492
1618,60.212,1.493,57.7,14.146,1.493
1619,60.297,1.495,57.78,14.166,1.495
1620,60.324,1.496,57.84,14.18,1.496
1621,60.356,1.497,57.9,14.195,1.497
1622,60.414,1.498,57.96,14.21,1.498
1623,60.444,1.499,58.02,14.225,1.499
1624,60.476,1.5,58.08,14.239,1.5
1625,60.522,1.501,58.14,14.254,1.501
1626,60.548,1.501,58.2,14.269,1.501
1627,60.58,1.502,58.24,14.278,1.502
1628,60.626,1.503,58.28,14.288,1.503
1629,60.652,1.504,58.32,14.298,1.504
1630,60.684,1.505,58.38,14.313,1.505
1631,60.733,1.506,58.42,14.323,1.506
1632,60.764,1.507,58.48,14.337,1.507
1633,60.796,1.508,58.52,14.347,1.508
1634,60.849,1.509,58.58,14.362,1.509
1635,60.876,1.51,58.64,14.377,1.51
1636,60.908,1.51,58.7,14.391,1.51
1637,60.967,1.512,58.74,14.401,1.512
1638,60.996,1.513,58.8,14.416,1.513
1639,61.028,1.514,58.84,14.426,1.514
1640,61.086,1.515,58.9,14.44,1.515
1641,61.116,1.516,58.96,14.455,1.516
1642,61.14,1.516,59.02,14.47,1.516
1643,61.197,1.518,59.08,14.484,1.518
1644,61.229,1.518,59.14,14.499,1.518
1645,61.261,1.519,59.2,14.514,1.519
1646,61.309,1.52,59.24,14.524,1.52
1647,61.341,1.521,59.28,14.533,1.521
1648,61.365,1.522,59.32,14.543,1.522
1649,61.403,1.523,59.38,14.558,1.523
1650,61.429,1.523,59.42,14.568,1.523
1651,61.453,1.524,59.46,14.578,1.524
1652,61.489,1.525,59.52,14.592,1.525
1653,61.517,1.526,59.56,14.602,1.526
1654,61.549,1.526,59.6,14.612,1.526
1655,61.603,1.528,59.66,14.627,1.528
1656,61.629,1.529,59.7,14.636,1.529
1657,61.661,1.529,59.74,14.646,1.529
1658,61.72,1.531,59.8,14.661,1.531
1659,61.749,1.531,59.86,14.676,1.531
1660,61.773,1.532,59.9,14.685,1.532
1661,61.81,1.533,59.96,14.7,1.533
1662,61.837,1.534,60.02,14.715,1.534
1663,61.869,1.534,60.06,14.725,1.534
1664,61.947,1.536,60.12,14.739,1.536
1665,61.973,1.537,60.16,14.749,1.537
1666,62.005,1.538,60.22,14.764,1.538
1667,62.073,1.54,60.28,14.779,1.54
1668,62.101,1.54,60.34,14.793,1.54
1669,62.125,1.541,60.38,14.803,1.541
1670,62.162,1.542,60.44,14.818,1.542
1671,62.189,1.543,60.5,14.833,1.543
1672,62.221,1.543,60.54,14.842,1.543
1673,62.278,1.545,60.6,14.857,1.545
1674,62.309,1.545,60.64,14.867,1.545
1675,62.341,1.546,60.68,14.877,1.546
1676,62.389,1.548,60.74,14.891,1.548
1677,62.421,1.548,60.8,14.906,1.548
1678,62.445,1.549,60.84,14.916,1.549
1679,62.479,1.55,60.9,14.931,1.55
1680,62.509,1.55,60.96,14.945,1.55
1681,62.533,1.551,61,14.955,1.551
1682,62.566,1.552,61.04,14.965,1.552
1683,62.597,1.553,61.08,14.975,1.553
1684,62.629,1.554,61.12,14.985,1.554
1685,62.684,1.555,61.18,14.999,1.555
1686,62.709,1.556,61.22,15.009,1.556
1687,62.733,1.556,61.26,15.019,1.556
1688,62.77,1.557,61.32,15.034,1.557
1689,62.797,1.558,61.38,15.048,1.558
1690,62.821,1.558,61.42,15.058,1.558
1691,62.87,1.56,61.48,15.073,1.56
1692,62.901,1.56,61.52,15.083,1.56
1693,62.933,1.561,61.58,15.097,1.561
1694,62.98,1.562,61.62,15.107,1.562
1695,63.005,1.563,61.66,15.117,1.563
1696,63.037,1.564,61.72,15.132,1.564
1697,63.096,1.565,61.78,15.146,1.565
1698,63.125,1.566,61.84,15.161,1.566
1699,63.157,1.567,61.9,15.176,1.567
1700,63.203,1.568,61.96,15.191,1.568
1701,63.229,1.569,62.02,15.205,1.569
1702,63.261,1.569,62.06,15.215,1.569
1703,63.314,1.571,62.12,15.23,1.571
1704,63.341,1.571,62.16,15.24,1.571
1705,63.365,1.572,62.2,15.249,1.572
1706,63.411,1.573,62.26,15.264,1.573
1707,63.437,1.574,62.32,15.279,1.574
1708,63.469,1.575,62.36,15.289,1.575
1709,63.52,1.576,62.42,15.303,1.576
1710,63.549,1.577,62.48,15.318,1.577
1711,63.573,1.577,62.52,15.328,1.577
1712,63.619,1.578,62.58,15.343,1.578
1713,63.645,1.579,62.62,15.352,1.579
1714,63.677,1.58,62.66,15.362,1.58
1715,63.725,1.581,62.72,15.377,1.581
1716,63.757,1.582,62.78,15.392,1.582
1717,63.789,1.583,62.84,15.406,1.583
1718,63.833,1.584,62.9,15.421,1.584
1719,63.861,1.584,62.96,15.436,1.584
1720,63.893,1.585,63,15.445,1.585
1721,63.94,1.586,63.06,15.46,1.586
1722,63.965,1.587,63.1,15.47,1.587
1723,63.997,1.588,63.16,15.485,1.588
1724,64.044,1.589,63.2,15.495,1.589
1725,64.069,1.59,63.26,15.509,1.59
1726,64.101,1.59,63.3,15.519,1.59
1727,64.14,1.591,63.36,15.534,1.591
1728,64.165,1.592,63.42,15.548,1.592
1729,64.189,1.592,63.46,15.558,1.592
1730,64.229,1.593,63.52,15.573,1.593
1731,64.253,1.594,63.56,15.583,1.594
1732,64.285,1.595,63.6,15.593,1.595
1733,64.324,1.596,63.64,15.602,1.596
1734,64.357,1.597,63.68,15.612,1.597
1735,64.39,1.598,63.74,15.627,1.598
1736,64.469,1.599,63.8,15.642,1.599
1737,64.493,1.6,63.88,15.661,1.6
1738,64.517,1.601,63.94,15.676,1.601
1739,64.568,1.602,64,15.691,1.602
1740,64.597,1.603,64.06,15.705,1.603
1741,64.629,1.604,64.12,15.72,1.604
1742,64.665,1.605,64.16,15.73,1.605
1743,64.693,1.605,64.2,15.74,1.605
1744,64.717,1.606,64.26,15.754,1.606
1745,64.752,1.607,64.3,15.764,1.607
1746,64.781,1.607,64.36,15.779,1.607
1747,64.805,1.608,64.4,15.789,1.608
1748,64.838,1.609,64.46,15.803,1.609
1749,64.893,1.61,64.54,15.823,1.61
1750,64.917,1.611,64.58,15.833,1.611
1751,64.957,1.612,64.62,15.843,1.612
1752,64.989,1.613,64.66,15.852,1.613
1753,65.057,1.614,64.74,15.872,1.614
1754,65.085,1.615,64.8,15.887,1.615
1755,65.117,1.616,64.86,15.902,1.616
1756,65.141,1.616,64.92,15.916,1.616
1757,65.194,1.618,64.98,15.931,1.618
1758,65.221,1.618,65.04,15.946,1.618
1759,65.253,1.619,65.1,15.96,1.619
1760,65.329,1.621,65.16,15.975,1.621
1761,65.357,1.622,65.22,15.99,1.622
1762,65.389,1.623,65.28,16.004,1.623
1763,65.452,1.624,65.36,16.024,1.624
1764,65.477,1.625,65.44,16.044,1.625
1765,65.509,1.626,65.5,16.058,1.626
1766,65.568,1.627,65.58,16.078,1.627
1767,65.597,1.628,65.66,16.098,1.628
1768,65.629,1.629,65.7,16.107,1.629
1769,65.68,1.63,65.76,16.122,1.63
1770,65.709,1.631,65.82,16.137,1.631
1771,65.741,1.632,65.86,16.147,1.632
1772,65.798,1.633,65.94,16.166,1.633
1773,65.829,1.634,66,16.181,1.634
1774,65.861,1.635,66.06,16.196,1.635
1775,65.903,1.636,66.12,16.21,1.636
1776,65.933,1.636,66.18,16.225,1.636
1777,65.965,1.637,66.22,16.235,1.637
1778,66.002,1.638,66.26,16.245,1.638
1779,66.028,1.639,66.32,16.259,1.639
1780,66.06,1.639,66.36,16.269,1.639
1781,66.11,1.641,66.42,16.284,1.641
1782,66.14,1.642,66.48,16.299,1.642
1783,66.172,1.642,66.52,16.308,1.642
1784,66.223,1.644,66.58,16.323,1.644
1785,66.252,1.644,66.64,16.338,1.644
1786,66.284,1.645,66.7,16.353,1.645
1787,66.332,1.646,66.74,16.362,1.646
1788,66.364,1.647,66.8,16.377,1.647
1789,66.396,1.648,66.86,16.392,1.648
1790,66.457,1.649,66.92,16.407,1.649
1791,66.484,1.65,67,16.426,1.65
1792,66.508,1.651,67.06,16.441,1.651
1793,66.546,1.652,67.12,16.456,1.652
1794,66.572,1.652,67.16,16.465,1.652
1795,66.596,1.653,67.2,16.475,1.653
1796,66.632,1.654,67.24,16.485,1.654
1797,66.66,1.655,67.3,16.5,1.655
1798,66.692,1.655,67.34,16.51,1.655
1799,66.763,1.657,67.4,16.524,1.657
1800,66.788,1.658,67.46,16.539,1.658
1801,66.812,1.658,67.52,16.554,1.658
1802,66.853,1.659,67.6,16.573,1.659
1803,66.884,1.66,67.66,16.588,1.66
1804,66.908,1.661,67.7,16.598,1.661
1805,66.97,1.662,67.74,16.608,1.662
1806,66.996,1.663,67.8,16.622,1.663
1807,67.036,1.664,67.86,16.637,1.664
1808,67.068,1.665,67.92,16.652,1.665
1809,67.1,1.666,67.98,16.666,1.666
1810,67.132,1.666,68.04,16.681,1.666
1811,67.168,1.667,68.1,16.696,1.667
1812,67.196,1.668,68.16,16.711,1.668
1813,67.22,1.669,68.2,16.72,1.669
1814,67.27,1.67,68.24,16.73,1.67
1815,67.3,1.671,68.3,16.745,1.671
1816,67.347,1.672,68.34,16.755,1.672
1817,67.395,1.673,68.42,16.774,1.673
1818,67.42,1.673,68.48,16.789,1.673
1819,67.444,1.674,68.54,16.804,1.674
1820,67.491,1.675,68.6,16.818,1.675
1821,67.516,1.676,68.66,16.833,1.676
1822,67.54,1.676,68.7,16.843,1.676
1823,67.583,1.677,68.74,16.853,1.677
1824,67.612,1.678,68.78,16.863,1.678
1825,67.636,1.679,68.82,16.872,1.679
1826,67.676,1.68,68.88,16.887,1.68
1827,67.708,1.681,68.92,16.897,1.681
1828,67.732,1.681,68.98,16.912,1.681
1829,67.768,1.682,69.02,16.921,1.682
1830,67.796,1.683,69.08,16.936,1.683
1831,67.82,1.684,69.14,16.951,1.684
1832,67.855,1.684,69.18,16.961,1.684
1833,67.884,1.685,69.24,16.975,1.685
1834,67.916,1.686,69.28,16.985,1.686
1835,67.952,1.687,69.32,16.995,1.687
1836,67.98,1.688,69.36,17.005,1.687
1837,68.004,1.688,69.4,17.015,1.688
1838,68.037,1.689,69.44,17.024,1.689
1839,68.068,1.69,69.5,17.039,1.69
1840,68.1,1.69,69.54,17.049,1.69
1841,68.136,1.691,69.58,17.059,1.691
1842,68.164,1.692,69.64,17.073,1.692
1843,68.196,1.693,69.7,17.088,1.693
1844,68.232,1.694,69.74,17.098,1.694
1845,68.26,1.695,69.78,17.108,1.695
1846,68.292,1.695,69.84,17.122,1.695
1847,68.333,1.696,69.88,17.132,1.696
1848,68.364,1.697,69.92,17.142,1.697
1849,68.396,1.698,69.98,17.157,1.698
1850,68.431,1.699,70.04,17.171,1.699
1851,68.46,1.7,70.1,17.186,1.7
1852,68.484,1.7,70.14,17.196,1.7
1853,68.541,1.702,70.2,17.211,1.702
1854,68.572,1.702,70.26,17.225,1.702
1855,68.596,1.703,70.32,17.24,1.703
1856,68.664,1.705,70.36,17.25,1.705
1857,68.692,1.705,70.42,17.265,1.705
1858,68.716,1.706,70.48,17.279,1.706
1859,68.752,1.707,70.52,17.289,1.707
1860,68.804,1.708,70.62,17.314,1.708
1861,68.828,1.709,70.68,17.328,1.709
1862,68.864,1.71,70.72,17.338,1.71
1863,68.892,1.71,70.76,17.348,1.71
1864,68.916,1.711,70.82,17.363,1.711
1865,68.952,1.712,70.86,17.372,1.712
1866,68.98,1.713,70.9,17.382,1.713
1867,69.012,1.713,70.94,17.392,1.713
1868,69.048,1.714,70.98,17.402,1.714
1869,69.076,1.715,71.04,17.417,1.715
1870,69.108,1.716,71.1,17.431,1.716
1871,69.145,1.717,71.16,17.446,1.717
1872,69.172,1.717,71.2,17.456,1.717
1873,69.196,1.718,71.26,17.471,1.718
1874,69.232,1.719,71.3,17.48,1.719
1875,69.26,1.72,71.34,17.49,1.72
1876,69.292,1.72,71.38,17.5,1.72
1877,69.326,1.721,71.42,17.51,1.721
1878,69.356,1.722,71.46,17.52,1.722
1879,69.38,1.723,71.52,17.534,1.723
1880,69.416,1.724,71.56,17.544,1.724
1881,69.444,1.724,71.6,17.554,1.724
1882,69.468,1.725,71.66,17.569,1.725
1883,69.503,1.726,71.7,17.578,1.726
1884,69.532,1.726,71.76,17.593,1.726
1885,69.556,1.727,71.8,17.603,1.727
1886,69.592,1.728,71.84,17.613,1.728
1887,69.62,1.729,71.88,17.623,1.729
1888,69.644,1.729,71.92,17.632,1.729
1889,69.679,1.73,71.96,17.642,1.73
1890,69.708,1.731,72,17.652,1.731
1891,69.732,1.731,72.04,17.662,1.731
1892,69.768,1.732,72.1,17.676,1.732
1893,69.796,1.733,72.16,17.691,1.733
1894,69.82,1.734,72.2,17.701,1.734
1895,69.856,1.734,72.24,17.711,1.734
1896,69.884,1.735,72.3,17.726,1.735
1897,69.908,1.736,72.34,17.735,1.736
1898,69.942,1.737,72.38,17.745,1.737
1899,69.972,1.737,72.42,17.755,1.737
1900,69.996,1.738,72.44,17.76,1.738
1901,70.031,1.739,72.48,17.77,1.739
1902,70.06,1.74,72.52,17.779,1.74
1903,70.092,1.741,72.58,17.794,1.741
1904,70.181,1.743,72.64,17.809,1.743
1905,70.212,1.744,72.72,17.828,1.744
1906,70.244,1.744,72.78,17.843,1.744
1907,70.301,1.746,72.86,17.863,1.746
1908,70.332,1.746,72.92,17.878,1.746
1909,70.39,1.748,73.02,17.902,1.748
1910,70.42,1.749,73.08,17.917,1.749
1911,70.452,1.75,73.12,17.927,1.75
1912,70.484,1.75,73.18,17.941,1.75
1913,70.535,1.752,73.24,17.956,1.752
1914,70.564,1.752,73.3,17.971,1.752
1915,70.588,1.753,73.34,17.981,1.753
1916,70.623,1.754,73.4,17.995,1.754
1917,70.652,1.755,73.44,18.005,1.755
1918,70.684,1.755,73.48,18.015,1.755
1919,70.746,1.757,73.54,18.03,1.757
1920,70.772,1.758,73.6,18.044,1.758
1921,70.796,1.758,73.66,18.059,1.758
1922,70.847,1.759,73.72,18.074,1.759
1923,70.876,1.76,73.78,18.088,1.76
1924,70.908,1.761,73.84,18.103,1.761
1925,70.967,1.762,73.88,18.113,1.762
1926,70.996,1.763,73.94,18.128,1.763
1927,71.028,1.764,74,18.142,1.764
1928,71.082,1.765,74.06,18.157,1.765
1929,71.108,1.766,74.12,18.172,1.766
1930,71.14,1.767,74.2,18.191,1.767
1931,71.19,1.768,74.26,18.206,1.768
1932,71.22,1.769,74.32,18.221,1.769
1933,71.252,1.77,74.38,18.235,1.77
1934,71.315,1.771,74.42,18.245,1.771
1935,71.34,1.772,74.48,18.26,1.772
1936,71.364,1.772,74.54,18.275,1.772
1937,71.433,1.774,74.6,18.289,1.774
1938,71.46,1.775,74.66,18.304,1.775
1939,71.492,1.776,74.72,18.319,1.776
1940,71.554,1.777,74.8,18.338,1.777
1941,71.58,1.778,74.86,18.353,1.778
1942,71.604,1.778,74.92,18.368,1.778
1943,71.659,1.78,74.96,18.378,1.78
1944,71.684,1.78,75.02,18.392,1.78
1945,71.708,1.781,75.08,18.407,1.781
1946,71.754,1.782,75.14,18.422,1.782
1947,71.78,1.783,75.2,18.437,1.783
1948,71.804,1.783,75.24,18.446,1.783
1949,71.841,1.784,75.3,18.461,1.784
1950,71.868,1.785,75.36,18.476,1.785
1951,71.9,1.786,75.4,18.486,1.786
1952,71.954,1.787,75.46,18.5,1.787
1953,71.98,1.788,75.5,18.51,1.788
1954,72.012,1.789,75.56,18.525,1.789
1955,72.071,1.79,75.62,18.539,1.79
1956,72.1,1.791,75.68,18.554,1.791
1957,72.124,1.791,75.72,18.564,1.791
1958,72.185,1.793,75.8,18.584,1.793
1959,72.212,1.794,75.86,18.598,1.794
1960,72.244,1.794,75.92,18.613,1.794
1961,72.3,1.796,75.98,18.628,1.796
1962,72.332,1.797,76.04,18.642,1.797
1963,72.364,1.797,76.08,18.652,1.797
1964,72.417,1.799,76.14,18.667,1.799
1965,72.444,1.799,76.22,18.687,1.799
1966,72.476,1.8,76.28,18.701,1.8
1967,72.524,1.801,76.34,18.716,1.801
1968,72.556,1.802,76.4,18.731,1.802
1969,72.588,1.803,76.46,18.745,1.803
1970,72.65,1.804,76.52,18.76,1.804
1971,72.676,1.805,76.58,18.775,1.805
1972,72.708,1.806,76.64,18.79,1.806
1973,72.744,1.807,76.7,18.804,1.807
1974,72.772,1.808,76.76,18.819,1.808
1975,72.804,1.808,76.82,18.834,1.808
1976,72.861,1.81,76.88,18.848,1.81
1977,72.892,1.811,76.96,18.868,1.811
1978,72.924,1.812,77,18.878,1.812
1979,72.972,1.813,77.06,18.893,1.813
1980,73.004,1.813,77.12,18.907,1.813
1981,73.028,1.814,77.18,18.922,1.814
1982,73.088,1.816,77.24,18.937,1.816
1983,73.116,1.816,77.3,18.951,1.816
1984,73.148,1.817,77.38,18.971,1.817
1985,73.219,1.819,77.46,18.991,1.819
1986,73.244,1.82,77.52,19.005,1.82
1987,73.276,1.82,77.58,19.02,1.82
1988,73.356,1.822,77.7,19.049,1.822
1989,73.388,1.823,77.76,19.064,1.823
1990,73.42,1.824,77.82,19.079,1.824
1991,73.476,1.825,77.88,19.094,1.825
1992,73.508,1.826,77.96,19.113,1.826
1993,73.532,1.827,78.02,19.128,1.827
1994,73.58,1.828,78.1,19.148,1.828
1995,73.612,1.829,78.18,19.167,1.829
1996,73.644,1.83,78.22,19.177,1.83
1997,73.69,1.831,78.3,19.197,1.831
1998,73.716,1.831,78.36,19.211,1.831
1999,73.748,1.832,78.42,19.226,1.832
2000,73.8,1.833,78.48,19.241,1.833
2001,73.828,1.834,78.56,19.26,1.834
2002,73.86,1.835,78.62,19.275,1.835
2003,73.925,1.837,78.68,19.29,1.837
2004,73.98,1.838,78.78,19.314,1.838
2005,74.012,1.839,78.84,19.329,1.839
2006,74.073,1.84,78.9,19.344,1.84
2007,74.1,1.841,78.96,19.358,1.841
2008,74.132,1.842,79.04,19.378,1.842
2009,74.192,1.843,79.1,19.393,1.843
2010,74.22,1.844,79.18,19.412,1.844
2011,74.252,1.845,79.24,19.427,1.845
2012,74.299,1.846,79.3,19.442,1.846
2013,74.324,1.846,79.36,19.456,1.846
2014,74.348,1.847,79.4,19.466,1.847
2015,74.392,1.848,79.46,19.481,1.848
2016,74.42,1.849,79.52,19.496,1.849
2017,74.452,1.85,79.58,19.51,1.85
2018,74.492,1.851,79.64,19.525,1.851
2019,74.524,1.852,79.7,19.54,1.852
2020,74.556,1.852,79.76,19.554,1.852
2021,74.619,1.854,79.82,19.569,1.854
2022,74.644,1.855,79.88,19.584,1.855
2023,74.676,1.855,79.92,19.594,1.855
2024,74.726,1.857,79.98,19.608,1.857
2025,74.756,1.857,80.06,19.628,1.857
2026,74.788,1.858,80.12,19.643,1.858
2027,74.86,1.86,80.18,19.657,1.86
2028,74.892,1.861,80.26,19.677,1.861
2029,74.916,1.861,80.32,19.692,1.861
2030,74.979,1.863,80.4,19.711,1.863
2031,75.004,1.864,80.46,19.726,1.864
2032,75.036,1.864,80.52,19.741,1.864
2033,75.094,1.866,80.6,19.76,1.866
2034,75.124,1.867,80.68,19.78,1.867
2035,75.156,1.867,80.74,19.795,1.867
2036,75.204,1.868,80.82,19.814,1.868
2037,75.236,1.869,80.88,19.829,1.869
2038,75.268,1.87,80.94,19.844,1.87
2039,75.318,1.871,80.98,19.854,1.871
2040,75.348,1.872,81.04,19.868,1.872
2041,75.38,1.873,81.1,19.883,1.873
2042,75.428,1.874,81.18,19.903,1.874
2043,75.46,1.875,81.24,19.917,1.875
2044,75.484,1.876,81.3,19.932,1.876
2045,75.519,1.876,81.36,19.947,1.876
2046,75.548,1.877,81.42,19.961,1.877
2047,75.572,1.878,81.46,19.971,1.878
2048,75.608,1.879,81.5,19.981,1.879
2049,75.636,1.879,81.54,19.991,1.879
2050,75.66,1.88,81.58,20.001,1.88
2051,75.71,1.881,81.64,20.015,1.881
2052,75.766,1.883,81.72,20.035,1.883
2053,75.796,1.883,81.78,20.05,1.883
2054,75.833,1.884,81.86,20.069,1.884
2055,75.86,1.885,81.92,20.084,1.885
2056,75.884,1.885,81.98,20.099,1.885
2057,75.92,1.886,82.04,20.113,1.886
2058,75.948,1.887,82.08,20.123,1.887
2059,75.972,1.888,82.12,20.133,1.888
2060,76.009,1.889,82.16,20.143,1.889
2061,76.036,1.889,82.2,20.153,1.889
2062,76.068,1.89,82.26,20.167,1.89
2063,76.106,1.891,82.3,20.177,1.891
2064,76.132,1.892,82.36,20.192,1.892
2065,76.164,1.893,82.42,20.207,1.893
2066,76.201,1.893,82.48,20.221,1.893
2067,76.228,1.894,82.52,20.231,1.894
2068,76.252,1.895,82.58,20.246,1.895
2069,76.289,1.897,82.66,20.265,1.897
2070,76.364,1.898,82.72,20.28,1.898
2071,76.388,1.898,82.76,20.29,1.898
2072,76.428,1.899,82.84,20.31,1.899
2073,76.46,1.9,82.9,20.324,1.9
2074,76.492,1.901,82.96,20.339,1.901
2075,76.528,1.902,83.02,20.354,1.902
2076,76.556,1.902,83.08,20.368,1.902
2077,76.58,1.903,83.14,20.383,1.903
2078,76.624,1.904,83.18,20.393,1.904
2079,76.652,1.905,83.24,20.408,1.905
2080,76.676,1.905,83.28,20.417,1.905
2081,76.713,1.906,83.32,20.427,1.906
2082,76.74,1.907,83.38,20.442,1.907
2083,76.772,1.908,83.44,20.457,1.908
2084,76.818,1.909,83.5,20.471,1.909
2085,76.844,1.91,83.56,20.486,1.91
2086,76.868,1.91,83.62,20.501,1.91
2087,76.905,1.911,83.66,20.511,1.911
2088,76.932,1.912,83.72,20.525,1.912
2089,76.956,1.913,83.76,20.535,1.912
2090,77.006,1.914,83.82,20.55,1.914
2091,77.036,1.915,83.86,20.56,1.915
2092,77.068,1.915,83.92,20.574,1.915
2093,77.119,1.917,84,20.594,1.917
2094,77.148,1.917,84.08,20.614,1.917
2095,77.18,1.918,84.14,20.628,1.918
2096,77.227,1.919,84.2,20.643,1.919
2097,77.276,1.92,84.3,20.668,1.921
2098,77.308,1.921,84.36,20.682,1.921
2099,77.358,1.922,84.4,20.692,1.922
2100,77.388,1.923,84.46,20.707,1.923
2101,77.42,1.924,84.52,20.721,1.924
2102,77.474,1.925,84.6,20.741,1.925
2103,77.5,1.926,84.66,20.756,1.926
2104,77.532,1.927,84.74,20.775,1.927
2105,77.588,1.928,84.8,20.79,1.928
2106,77.62,1.929,84.86,20.805,1.929
2107,77.652,1.93,84.92,20.82,1.93
